doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
MANDARIN,Sino-Tibetan,cmn,897902930,34.0,110.0,Asia,43
SPANISH,Indo-European,spa,436667750,40.0,-4.0,Europe,25
ENGLISH,Indo-European,eng,339370920,52.0,0.0,Europe,40
HINDI,Indo-European,hin,260123420,25.0,77.0,Asia,94
PORTUGUESE,Indo-European,por,218765470,39.0,-8.0,Europe,38
BENGALI,Indo-European,ben,189144830,24.0,90.0,Asia,53
RUSSIAN,Indo-European,rus,153612510,56.0,38.0,Europe,38
MALANG,Austronesian,jav,84368500,-7.97,112.62,Oceania,30
SUZHOU_WU,Sino-Tibetan,wuu,80102480,31.3,120.6,Asia,41
KOREAN,Koreanic,kor,77233270,37.5,128.0,Asia,40
STANDARD_GERMAN,Indo-European,deu,76813820,52.0,10.0,Europe,39
FRENCH,Indo-European,fra,76096430,48.0,2.0,Europe,40
TELUGU,Dravidian,tel,74244300,16.0,79.0,Asia,68
CANTONESE,Sino-Tibetan,yue,72893210,23.0,113.0,Asia,32
MARATHI,Indo-European,mar,71775760,19.0,76.0,Asia,55
TURKISH_2,Turkic,tur,71083170,39.0,35.0,Asia,40
URDU,Indo-European,urd,69050130,25.0,67.0,Asia,54
VIETNAMESE,Austroasiatic,vie,68058620,10.5,106.5,Asia,39
TAMIL,Dravidian,tam,67965790,11.0,78.5,Asia,33
CAIRO_ARABIC,Afro-Asiatic,arz,64542400,30.0,31.0,Africa,67
ITALIAN,Indo-European,ita,63370110,43.0,12.0,Europe,30
PERSIAN,Indo-European,pes,52939220,32.0,54.0,Asia,30
HAKKA,Sino-Tibetan,hak,47824550,25.0,116.0,Asia,31
GUJARATI,Indo-European,guj,46857670,23.0,72.0,Asia,60
POLISH,Indo-European,pol,40441370,52.0,20.0,Europe,37
BHOIPURI,Indo-European,bho,39445300,26.0,84.0,Asia,51
KANNADA,Dravidian,kan,37739040,14.0,76.0,Asia,47
UKRAINIAN,Indo-European,ukr,34710100,49.0,33.0,Europe,30
MALAYALAM,Dravidian,mal,34451800,10.0,76.5,Asia,43
SUNDANESE,Austronesian,sun,34000000,-7.0,107.0,Oceania,26
YANGON_BURMESE,Sino-Tibetan,mya,32875600,16.8,96.15,Asia,50
ORIYA,Indo-European,ory,32137870,21.0,85.0,Asia,43
PUNJABI_MAJHI,Indo-European,pan,29258970,31.0,74.0,Asia,73
ARABIC_SUDANESE_SPOKEN,Afro-Asiatic,apd,28876000,15.55,32.53,Africa,62
HAUSA,Afro-Asiatic,hau,27374100,12.0,7.0,Africa,45
UZBEK,Turkic,uzn,25170100,40.67,66.5,Asia,30
TAGALOG,Austronesian,tgl,24628290,15.0,121.0,Oceania,28
ROMANIAN,Indo-European,ron,24150840,46.0,25.0,Europe,31
MOROCCAN_ARABIC,Afro-Asiatic,ary,23301200,34.0,-6.0,Africa,78
INDONESIAN,Austronesian,ind,23195070,0.0,106.0,Oceania,31
DUTCH,Indo-European,nld,22163020,52.5,6.0,Europe,39
AMHARIC_2,Afro-Asiatic,amh,21820220,10.0,38.0,Africa,59
DIR_PASHTO,Indo-European,pbu,21038000,35.21,71.88,Asia,33
TAI,Tai-Kadai,tha,20548550,16.0,101.0,Asia,45
SERAIKI,Indo-European,skr,20068000,34.0,71.41,Asia,83
YORUBA,Atlantic-Congo,yor,19043700,8.0,4.33,Africa,29
IGBO_ONITSHA,Atlantic-Congo,ibo,18007950,6.0,7.33,Africa,65
SOMALI,Afro-Asiatic,som,16396400,3.0,45.0,Africa,52
KHMER_2,Austroasiatic,khm,16390040,12.5,105.0,Asia,42
SWAHILI_CHIRAZI,Atlantic-Congo,swh,15992010,-4.02,39.43,Africa,36
CEBUANO,Austronesian,ceb,15810000,10.0,124.0,Oceania,21
NEPALI,Indo-European,npi,15372600,28.0,85.0,Asia,47
KURDISH_KURMANJI,Indo-European,kmr,15103230,38.0,42.0,Asia,47
SINHALA,Indo-European,sin,14210660,7.0,80.5,Asia,53
AZERBAIJANI_SOUTHERN,Turkic,azb,13973280,37.5,47.0,Asia,33
GREEK,Indo-European,ell,13077490,39.0,22.0,Europe,26
ASSAMESE,Indo-European,asm,12828220,26.0,93.0,Asia,37
HUNGARIAN,Uralic,hun,12597540,47.0,20.0,Europe,65
RWANDA,Atlantic-Congo,kin,12115000,-2.0,30.0,Africa,49
ZULU,Atlantic-Congo,zul,11772100,-30.0,30.0,Africa,43
FULFULDE,Atlantic-Congo,fuv,11585000,8.17,10.5,Africa,57
QUETTA_PASHTO,Indo-European,pbt,10734800,30.21,67.02,Asia,33
CZECH,Indo-European,ces,10677190,50.0,15.0,Europe,38
KIRUNDI,Atlantic-Congo,run,10661000,-3.5,30.0,Africa,29
UYGHUR,Turkic,uig,10399460,40.0,80.0,Asia,43
JAMTLANDIC,Indo-European,swe,9244250,63.0,14.67,Europe,35
TEREKEME_AZERI,Turkic,azj,9227260,41.08,45.38,Asia,34
FUZHOU_CHINESE,Sino-Tibetan,cdo,9114870,26.08,119.31,Asia,21
SERBOCROATIAN,Indo-European,srp,8485306,44.0,19.0,Europe,34
TWI_ASANTE,Atlantic-Congo,aka,8214000,6.61,-1.58,Africa,40
S41_XHOSA,Atlantic-Congo,xho,8169300,-32.0,27.0,Africa,84
BULGARIAN,Indo-European,bul,8068620,42.5,25.0,Europe,49
TAJIK,Indo-European,tgk,7863920,38.4,70.0,Asia,29
TIGRINYA,Afro-Asiatic,tir,7747400,14.5,38.5,Africa,39
MALAGASY_TAIMORO,Austronesian,plt,7544380,-22.5,47.9,Oceania,36
F21_SUKUMA,Atlantic-Congo,suk,7300000,-2.83,32.0,Africa,57
KURDISH_CENTRAL,Indo-European,ckb,7250000,36.0,44.0,Asia,39
SHONA_2,Atlantic-Congo,sna,7223100,-18.0,31.0,Africa,42
AFRIKAANS,Indo-European,afr,7218390,-31.0,22.0,Africa,39
TURKMEN_2,Turkic,tuk,7097970,40.0,58.0,Asia,37
ILOKANO,Austronesian,ilo,7016400,16.0,121.0,Oceania,21
MADURESE,Austronesian,mad,6770900,-7.0,113.5,Oceania,35
GIKUYU_2,Atlantic-Congo,kik,6623000,-0.75,36.75,Africa,32
LAKKI_MARWAT_PASHTO,Indo-European,pst,6520000,32.6,70.91,Asia,38
MOORE,Atlantic-Congo,mos,6469300,12.83,-1.25,Africa,43
BODOBELGHORIA_SANTALI,Austroasiatic,sat,6219300,24.5,87.0,Asia,46
GUARANI,Tupian,gug,6050000,-26.0,-56.0,SouthAmerica,36
LAMPANG_THAI,Tai-Kadai,nod,6029500,18.3,99.5,Asia,33
UMBUNDU,Atlantic-Congo,umb,6000000,-12.5,15.0,Africa,30
HILIGAYNON,Austronesian,hil,5770000,10.25,123.0,Oceania,25
BERNESE_GERMAN,Indo-European,gsw,5724200,47.0,7.42,Europe,56
KABYLE_GREATER_KABYLIA_AT_MANGELLAT,Afro-Asiatic,kab,5586000,36.05,5.0,Africa,30
LUGANDA,Atlantic-Congo,lug,5563450,0.5,32.17,Africa,33
DANISH,Indo-European,dan,5532120,56.0,10.0,Europe,69
MINANGKABAU,Austronesian,min,5530000,-1.0,101.0,Oceania,33
KASHMIRI,Indo-European,kas,5484830,34.0,76.0,Asia,56
FINNISH,Uralic,fin,5413380,62.0,25.0,Europe,42
WESTERN_ARMENIAN,Indo-European,hye,5327020,38.5,43.5,Asia,37
WOLOF,Atlantic-Congo,wol,5260600,15.25,-16.0,Africa,40
CROATIAN,Indo-European,hrv,5256400,45.82,15.98,Europe,36
HEBREW,Afro-Asiatic,heb,5239200,31.5,34.83,Asia,30
NORWEGIAN_BOKMAAL,Indo-European,nor,5193250,61.0,8.0,Europe,40
TATAR,Turkic,tat,5188710,56.0,49.5,Asia,43
SLOVAK,Indo-European,slk,5149000,49.0,20.0,Europe,44
BUGINESE,Austronesian,bug,5017800,-4.0,120.0,Oceania,25
KYRGYZ,Turkic,kir,4908350,42.0,75.0,Asia,36
ARABIC_LIBYAN_SPOKEN,Afro-Asiatic,ayl,4802000,32.0,22.0,Africa,50
EASTERN_OROMO,Afro-Asiatic,hae,4530000,9.0,42.0,Africa,60
SONGKHLA_THAI,Tai-Kadai,sou,4500000,7.19,101.0,Asia,35
FULA,Atlantic-Congo,fuc,4459000,15.0,-14.0,Africa,38
LUO,Nilotic,luo,4184000,-0.5,34.75,Africa,35
EWE_ADANGBE,Atlantic-Congo,ewe,4184000,6.33,0.42,Africa,45
LAMANI,Indo-European,lmn,4150000,17.0,77.0,Asia,34
BEMBA,Atlantic-Congo,bem,4110000,-10.0,30.0,Africa,25
VALENCIAN,Indo-European,cat,4105420,39.47,-0.38,Europe,39
BAMBARA,Mande,bam,4096380,12.5,-7.5,Africa,35
BORANA_OROMO,Afro-Asiatic,gax,3949600,4.5,38.5,Africa,36
TASHELHIT_IDA_USEMLAL,Afro-Asiatic,shi,3896000,29.53,-9.61,Africa,31
GEORGIAN,Kartvelian,kat,3669500,42.0,44.0,Asia,35
